timestamp,open,high,low,close,basevolume,usdtvolume,source_zip,datetime_utc
1767312540,4355.8,4357.74,4354.95,4354.95,1.62,7059.0984,20260102.zip,2026-01-02 00:09:00+00:00
1767312600,4354.95,4358.47,4354.14,4356.03,0.91,3962.9943,20260102.zip,2026-01-02 00:10:00+00:00
1767312660,4356.03,4356.03,4351.34,4353.36,2.55,11098.0731,20260102.zip,2026-01-02 00:11:00+00:00
1767312720,4353.36,4353.61,4353.36,4353.36,2.95,12842.4245,20260102.zip,2026-01-02 00:12:00+00:00
1767312780,4353.36,4356.3,4351.34,4351.41,1.3,5658.8035,20260102.zip,2026-01-02 00:13:00+00:00
1767312840,4351.41,4351.41,4351.35,4351.35,0.05,217.5675,20260102.zip,2026-01-02 00:14:00+00:00
1767312900,4351.35,4351.45,4351.34,4351.45,1.3,5656.7607,20260102.zip,2026-01-02 00:15:00+00:00
1767313020,4351.45,4351.46,4351.45,4351.46,0.13,565.6898,20260102.zip,2026-01-02 00:17:00+00:00
1767313080,4351.46,4355.31,4351.46,4355.31,0.08,348.3934,20260102.zip,2026-01-02 00:18:00+00:00
1767313140,4355.31,4355.31,4350,4350,0.35,1522.8335,20260102.zip,2026-01-02 00:19:00+00:00
1767313200,4350,4351.16,4348.86,4351.16,0.94,4088.7327,20260102.zip,2026-01-02 00:20:00+00:00
1767313260,4351.16,4352.52,4348.92,4348.92,0.5,2175.0457,20260102.zip,2026-01-02 00:21:00+00:00
1767313440,4348.92,4348.92,4346.14,4346.14,0.14,608.4822,20260102.zip,2026-01-02 00:24:00+00:00
1767313500,4346.14,4349.08,4346.14,4349.08,0.06,260.9448,20260102.zip,2026-01-02 00:25:00+00:00
1767313560,4349.08,4349.08,4347.22,4347.33,0.02,86.9455,20260102.zip,2026-01-02 00:26:00+00:00
1767313620,4347.33,4347.33,4346.57,4346.57,0.04,173.876,20260102.zip,2026-01-02 00:27:00+00:00
1767313680,4346.57,4352.8,4346.57,4351.7,1.36,5919.1466,20260102.zip,2026-01-02 00:28:00+00:00
1767313740,4351.7,4357.51,4351.7,4357.12,0.46,2003.7468,20260102.zip,2026-01-02 00:29:00+00:00
1767313800,4357.12,4357.51,4356.61,4357.51,0.8,3485.7542,20260102.zip,2026-01-02 00:30:00+00:00
1767313860,4357.51,4357.51,4354.64,4354.64,0.06,261.2784,20260102.zip,2026-01-02 00:31:00+00:00
1767313980,4354.64,4354.64,4351.86,4351.86,0.02,87.0372,20260102.zip,2026-01-02 00:33:00+00:00
