venue,product_type,symbol,hour_utc,bars,close,total_usdt_volume,total_base_volume,total_quote_volume
futures,USDT-FUTURES,BTCUSDT,2026-01-04 06:00:00+00:00,60,91180.0,194553527.67886,2126.0675,194553527.67886
futures,USDT-FUTURES,BTCUSDT,2026-01-04 07:00:00+00:00,59,91473.9,65694415.948520005,719.4036,65694415.948520005
futures,USDT-FUTURES,BTCUSDT,2026-01-04 08:00:00+00:00,60,91321.0,162126891.77109,1776.0814,162126891.77109
futures,USDT-FUTURES,BTCUSDT,2026-01-04 09:00:00+00:00,60,91401.9,95448085.95706,1045.2753,95448085.95706
futures,USDT-FUTURES,BTCUSDT,2026-01-04 10:00:00+00:00,59,91544.5,99975819.66606,1093.0114,99975819.66606
futures,USDT-FUTURES,BTCUSDT,2026-01-04 11:00:00+00:00,60,91257.9,102917899.24822,1127.1343,102917899.24822
futures,USDT-FUTURES,BTCUSDT,2026-01-04 12:00:00+00:00,60,91104.5,132436248.17448,1452.4762,132436248.17448
futures,USDT-FUTURES,BTCUSDT,2026-01-04 13:00:00+00:00,59,91232.7,71263864.5133,782.0587,71263864.5133
futures,USDT-FUTURES,BTCUSDT,2026-01-04 14:00:00+00:00,60,91296.0,72046279.39644,789.6257,72046279.39644
futures,USDT-FUTURES,BTCUSDT,2026-01-04 15:00:00+00:00,60,91286.6,40245972.22122,441.2641,40245972.22122
futures,USDT-FUTURES,BTCUSDT,2026-01-04 16:00:00+00:00,60,91282.1,67949710.93005,744.0951,67949710.93005
futures,USDT-FUTURES,BTCUSDT,2026-01-04 17:00:00+00:00,59,91300.1,26883043.18615,294.3097,26883043.18615
futures,USDT-FUTURES,BTCUSDT,2026-01-04 18:00:00+00:00,60,91166.2,77328837.43800999,848.9086,77328837.43800999
futures,USDT-FUTURES,BTCUSDT,2026-01-04 19:00:00+00:00,60,91102.0,99369862.46208,1092.3419,99369862.46208
futures,USDT-FUTURES,BTCUSDT,2026-01-04 20:00:00+00:00,59,91272.3,28376855.03743,311.0638,28376855.03743
