,timestamp,open,high,low,close,datetime
8503,1771986240000000000,5183.19,5183.35,5183.19,5183.35,2026-02-25T02:24:00.000000Z
8504,1771986300000000000,5183.35,5185.16,5183.35,5185.16,2026-02-25T02:25:00.000000Z
8505,1771986360000000000,5185.16,5185.16,5182.94,5182.94,2026-02-25T02:26:00.000000Z
8506,1771986420000000000,5182.94,5186.6,5182.94,5186.6,2026-02-25T02:27:00.000000Z
8507,1771986480000000000,5186.6,5187.3,5186.6,5186.7,2026-02-25T02:28:00.000000Z
8508,1771986540000000000,5186.7,5187.09,5186.11,5187.09,2026-02-25T02:29:00.000000Z
8509,1771986600000000000,5187.09,5187.95,5185.75,5186.29,2026-02-25T02:30:00.000000Z
8510,1771986660000000000,5186.29,5186.6,5185.75,5185.84,2026-02-25T02:31:00.000000Z
8511,1771986720000000000,5185.84,5189.19,5185.84,5186.48,2026-02-25T02:32:00.000000Z
8512,1771986780000000000,5186.48,5188.08,5186.04,5186.04,2026-02-25T02:33:00.000000Z
8513,1771986840000000000,5186.04,5187.61,5185.73,5185.73,2026-02-25T02:34:00.000000Z
8514,1771986900000000000,5185.73,5185.73,5183.7,5183.98,2026-02-25T02:35:00.000000Z
8515,1771986960000000000,5183.98,5183.98,5180.66,5182.24,2026-02-25T02:36:00.000000Z
8516,1771987020000000000,5182.24,5183.2,5181.3,5182.43,2026-02-25T02:37:00.000000Z
8517,1771987080000000000,5182.43,5184.49,5182.29,5184.0,2026-02-25T02:38:00.000000Z
8518,1771987140000000000,5184.0,5184.68,5184.0,5184.68,2026-02-25T02:39:00.000000Z
8519,1771987200000000000,5184.68,5184.68,5183.3,5183.44,2026-02-25T02:40:00.000000Z
8520,1771987260000000000,5183.44,5184.77,5182.55,5182.55,2026-02-25T02:41:00.000000Z
8521,1771987320000000000,5182.55,5182.55,5180.45,5181.86,2026-02-25T02:42:00.000000Z
8522,1771987380000000000,5181.86,5182.85,5181.86,5182.73,2026-02-25T02:43:00.000000Z
8523,1771987440000000000,5182.73,5184.31,5182.73,5183.92,2026-02-25T02:44:00.000000Z
8524,1771987500000000000,5183.92,5184.1,5183.0,5183.0,2026-02-25T02:45:00.000000Z
8525,1771987560000000000,5183.0,5183.6,5182.58,5183.41,2026-02-25T02:46:00.000000Z
8526,1771987620000000000,5183.41,5183.7,5183.41,5183.69,2026-02-25T02:47:00.000000Z
8527,1771987680000000000,5183.69,5183.96,5182.02,5183.31,2026-02-25T02:48:00.000000Z
8528,1771987740000000000,5183.31,5183.47,5183.0,5183.0,2026-02-25T02:49:00.000000Z
8529,1771987800000000000,5183.0,5183.0,5175.01,5175.67,2026-02-25T02:50:00.000000Z
8530,1771987860000000000,5175.67,5177.12,5165.49,5176.6,2026-02-25T02:51:00.000000Z
8531,1771987920000000000,5176.6,5177.23,5173.37,5173.91,2026-02-25T02:52:00.000000Z
8532,1771987980000000000,5173.91,5175.39,5171.86,5174.87,2026-02-25T02:53:00.000000Z
8533,1771988040000000000,5174.87,5175.42,5173.06,5173.06,2026-02-25T02:54:00.000000Z
8534,1771988100000000000,5173.06,5176.46,5173.06,5175.05,2026-02-25T02:55:00.000000Z
8535,1771988160000000000,5175.05,5176.45,5174.51,5175.98,2026-02-25T02:56:00.000000Z
8536,1771988220000000000,5175.98,5179.77,5175.98,5179.77,2026-02-25T02:57:00.000000Z
8537,1771988280000000000,5179.77,5180.32,5177.23,5178.4,2026-02-25T02:58:00.000000Z
8538,1771988340000000000,5178.4,5178.4,5177.05,5177.8,2026-02-25T02:59:00.000000Z
8539,1771988400000000000,5177.8,5186.52,5177.8,5186.52,2026-02-25T03:00:00.000000Z
8540,1771988460000000000,5186.52,5186.85,5185.19,5186.73,2026-02-25T03:01:00.000000Z
8541,1771988520000000000,5186.73,5186.73,5185.46,5186.11,2026-02-25T03:02:00.000000Z
8542,1771988580000000000,5186.11,5186.11,5184.65,5184.96,2026-02-25T03:03:00.000000Z
8543,1771988640000000000,5184.96,5184.96,5182.0,5182.0,2026-02-25T03:04:00.000000Z
8544,1771988700000000000,5182.0,5184.1,5182.0,5183.59,2026-02-25T03:05:00.000000Z
8545,1771988760000000000,5183.59,5184.09,5180.51,5180.51,2026-02-25T03:06:00.000000Z
8546,1771988820000000000,5180.51,5180.88,5179.71,5180.88,2026-02-25T03:07:00.000000Z
8547,1771988880000000000,5180.88,5182.77,5180.88,5181.7,2026-02-25T03:08:00.000000Z
8548,1771988940000000000,5181.7,5182.65,5181.0,5182.65,2026-02-25T03:09:00.000000Z
8549,1771989000000000000,5182.65,5182.65,5181.27,5182.2,2026-02-25T03:10:00.000000Z
8550,1771989060000000000,5182.2,5182.2,5181.0,5182.07,2026-02-25T03:11:00.000000Z
8551,1771989120000000000,5182.07,5182.72,5181.5,5181.5,2026-02-25T03:12:00.000000Z
8552,1771989180000000000,5181.5,5183.0,5181.31,5182.99,2026-02-25T03:13:00.000000Z
8553,1771989240000000000,5182.99,5183.93,5182.4,5182.62,2026-02-25T03:14:00.000000Z
8554,1771989300000000000,5182.62,5185.05,5182.62,5183.55,2026-02-25T03:15:00.000000Z
8555,1771989360000000000,5183.55,5184.19,5181.51,5182.4,2026-02-25T03:16:00.000000Z
8556,1771989420000000000,5182.4,5182.43,5180.52,5180.63,2026-02-25T03:17:00.000000Z
8557,1771989480000000000,5180.63,5181.71,5178.6,5181.36,2026-02-25T03:18:00.000000Z
8558,1771989540000000000,5181.36,5183.14,5180.25,5183.14,2026-02-25T03:19:00.000000Z
8559,1771989600000000000,5183.14,5184.56,5181.61,5181.61,2026-02-25T03:20:00.000000Z
