timestamp_ms,open,high,low,close,base_volume,usdt_volume,quote_volume,datetime_utc,venue,product_type,symbol
1767270600000,88006.02,88006.02,87986.11,87986.11,1.352714,119036.66855651,119036.66855651,2026-01-01 12:30:00+00:00,spot,SPOT,BTCUSDT
1767270660000,87986.11,87986.11,87967.45,87969.26,1.509769,132826.17903099,132826.17903099,2026-01-01 12:31:00+00:00,spot,SPOT,BTCUSDT
1767270720000,87969.26,87969.26,87969.25,87969.26,0.009532,838.52298258,838.52298258,2026-01-01 12:32:00+00:00,spot,SPOT,BTCUSDT
1767270780000,87969.26,87969.26,87924.0,87930.84,4.955905,435898.69669115,435898.69669115,2026-01-01 12:33:00+00:00,spot,SPOT,BTCUSDT
1767270840000,87930.84,87947.66,87930.83,87947.66,3.399813,298963.28576137,298963.28576137,2026-01-01 12:34:00+00:00,spot,SPOT,BTCUSDT
1767270900000,87947.66,87947.67,87947.66,87947.66,0.056405,4960.68778519,4960.68778519,2026-01-01 12:35:00+00:00,spot,SPOT,BTCUSDT
1767270960000,87947.66,87959.99,87947.66,87959.99,0.867534,76304.48876572,76304.48876572,2026-01-01 12:36:00+00:00,spot,SPOT,BTCUSDT
1767271020000,87959.99,87966.87,87959.99,87966.86,0.194908,17144.40705378,17144.40705378,2026-01-01 12:37:00+00:00,spot,SPOT,BTCUSDT
1767271080000,87966.86,87976.02,87966.86,87976.02,0.217183,19105.43579284,19105.43579284,2026-01-01 12:38:00+00:00,spot,SPOT,BTCUSDT
1767271140000,87976.02,87976.02,87976.01,87976.02,0.157948,13895.63566653,13895.63566653,2026-01-01 12:39:00+00:00,spot,SPOT,BTCUSDT
1767271200000,87976.02,87976.02,87956.43,87956.43,2.769234,243606.98382572,243606.98382572,2026-01-01 12:40:00+00:00,spot,SPOT,BTCUSDT
1767271260000,87956.43,87977.64,87956.43,87977.64,0.925428,81405.24715515,81405.24715515,2026-01-01 12:41:00+00:00,spot,SPOT,BTCUSDT
1767271320000,87977.64,87977.64,87977.63,87977.64,0.135867,11953.25732088,11953.25732088,2026-01-01 12:42:00+00:00,spot,SPOT,BTCUSDT
1767271380000,87977.64,87977.64,87975.94,87975.94,0.288588,25389.25698421,25389.25698421,2026-01-01 12:43:00+00:00,spot,SPOT,BTCUSDT
