,timestamp,open,high,low,close,datetime
6948,1772084940000000000,89.27,89.4,89.27,89.36,2026-02-26T05:49:00.000000Z
6949,1772085000000000000,89.36,89.39,89.26,89.26,2026-02-26T05:50:00.000000Z
6950,1772085060000000000,89.26,89.33,89.24,89.32,2026-02-26T05:51:00.000000Z
6951,1772085120000000000,89.32,89.42,89.32,89.39,2026-02-26T05:52:00.000000Z
6952,1772085180000000000,89.39,89.42,89.36,89.39,2026-02-26T05:53:00.000000Z
6953,1772085240000000000,89.39,89.39,89.29,89.34,2026-02-26T05:54:00.000000Z
6954,1772085300000000000,89.34,89.5,89.34,89.43,2026-02-26T05:55:00.000000Z
6955,1772085360000000000,89.43,89.43,89.37,89.4,2026-02-26T05:56:00.000000Z
6956,1772085420000000000,89.4,89.44,89.4,89.41,2026-02-26T05:57:00.000000Z
6957,1772085480000000000,89.41,89.48,89.38,89.46,2026-02-26T05:58:00.000000Z
6958,1772085540000000000,89.46,89.47,89.4,89.42,2026-02-26T05:59:00.000000Z
6959,1772085600000000000,89.42,89.47,89.36,89.41,2026-02-26T06:00:00.000000Z
6960,1772085660000000000,89.41,89.52,89.39,89.52,2026-02-26T06:01:00.000000Z
6961,1772085720000000000,89.52,89.57,89.45,89.45,2026-02-26T06:02:00.000000Z
6962,1772085780000000000,89.45,89.48,89.39,89.42,2026-02-26T06:03:00.000000Z
6963,1772085840000000000,89.42,89.47,89.4,89.4,2026-02-26T06:04:00.000000Z
6964,1772085900000000000,89.4,89.45,89.4,89.45,2026-02-26T06:05:00.000000Z
6965,1772085960000000000,89.45,89.56,89.41,89.55,2026-02-26T06:06:00.000000Z
6966,1772086020000000000,89.55,89.63,89.55,89.61,2026-02-26T06:07:00.000000Z
6967,1772086080000000000,89.61,89.71,89.6,89.66,2026-02-26T06:08:00.000000Z
6968,1772086140000000000,89.66,89.67,89.58,89.62,2026-02-26T06:09:00.000000Z
6969,1772086200000000000,89.62,89.63,89.54,89.57,2026-02-26T06:10:00.000000Z
6970,1772086260000000000,89.57,89.61,89.55,89.59,2026-02-26T06:11:00.000000Z
6971,1772086320000000000,89.59,89.62,89.55,89.61,2026-02-26T06:12:00.000000Z
6972,1772086380000000000,89.61,89.62,89.58,89.59,2026-02-26T06:13:00.000000Z
6973,1772086440000000000,89.59,89.63,89.59,89.63,2026-02-26T06:14:00.000000Z
6974,1772086500000000000,89.63,89.63,89.59,89.59,2026-02-26T06:15:00.000000Z
6975,1772086560000000000,89.59,89.59,89.51,89.53,2026-02-26T06:16:00.000000Z
6976,1772086620000000000,89.53,89.56,89.48,89.52,2026-02-26T06:17:00.000000Z
6977,1772086680000000000,89.52,89.52,89.31,89.31,2026-02-26T06:18:00.000000Z
6978,1772086740000000000,89.31,89.37,89.3,89.33,2026-02-26T06:19:00.000000Z
6979,1772086800000000000,89.33,89.37,89.07,89.16,2026-02-26T06:20:00.000000Z
6980,1772086860000000000,89.16,89.26,89.16,89.26,2026-02-26T06:21:00.000000Z
6981,1772086920000000000,89.26,89.3,89.2,89.22,2026-02-26T06:22:00.000000Z
6982,1772086980000000000,89.22,89.29,89.22,89.29,2026-02-26T06:23:00.000000Z
6983,1772087040000000000,89.29,89.38,89.29,89.34,2026-02-26T06:24:00.000000Z
6984,1772087100000000000,89.34,89.41,89.34,89.37,2026-02-26T06:25:00.000000Z
6985,1772087160000000000,89.37,89.37,89.29,89.29,2026-02-26T06:26:00.000000Z
6986,1772087220000000000,89.29,89.31,89.21,89.23,2026-02-26T06:27:00.000000Z
6987,1772087280000000000,89.23,89.32,89.23,89.31,2026-02-26T06:28:00.000000Z
6988,1772087340000000000,89.31,89.31,89.18,89.19,2026-02-26T06:29:00.000000Z
6989,1772087400000000000,89.19,89.38,89.19,89.37,2026-02-26T06:30:00.000000Z
6990,1772087460000000000,89.37,89.39,89.31,89.37,2026-02-26T06:31:00.000000Z
6991,1772087520000000000,89.37,89.39,89.36,89.38,2026-02-26T06:32:00.000000Z
6992,1772087580000000000,89.38,89.39,89.25,89.29,2026-02-26T06:33:00.000000Z
